Random Seed,Offered Load,Number of channels,Call arrival count,Blocked call count,Calls processed ,Block rate ,cnt_step ,init_offer_load ,
0,1.500000, 5, 507128, 7125, 500000, 0.014050, 2, 0.500000, 
0,2.500000, 7, 505107, 5106, 500000, 0.010109, 2, 1.500000, 
0,3.500000, 8, 508576, 8573, 500000, 0.016857, 2, 2.500000, 
0,4.500000, 10, 505300, 5295, 500000, 0.010479, 2, 3.500000, 
0,5.500000, 11, 507292, 7288, 500000, 0.014366, 2, 4.500000, 
0,7.000000, 13, 507326, 7322, 500000, 0.014433, 3, 5.500000, 
0,7.500000, 14, 505722, 5714, 500000, 0.011299, 2, 6.500000, 
0,8.500000, 15, 506899, 6894, 500000, 0.013600, 2, 7.500000, 
0,10.000000, 17, 506593, 6584, 500000, 0.012997, 3, 8.500000, 
0,10.500000, 18, 505403, 5394, 500000, 0.010673, 2, 9.500000, 
0,31.000000, 42, 505437, 5401, 500000, 0.010686, 3, 29.500000, 
0,51.000000, 64, 505709, 5654, 500000, 0.011180, 3, 49.500000, 
0,61.000000, 75, 505560, 5497, 500000, 0.010873, 3, 59.500000, 
0,90.000000, 106, 505568, 5470, 500000, 0.010820, 1, 89.500000, 
0,100.000000, 117, 505223, 5132, 500000, 0.010158, 1, 99.500000, 
