Random Seed,Offered Load,Number of channels,Call arrival count,Blocked call count,Calls processed ,Block rate ,Give up time ,wait time ,taxi_arrive_customer_left_count ,Customer left rate ,
0,1.000000, 1, 199284, 124413, 50000, 0.624300, 2.000000, 1.000000, 0, 0.332171, 
0,1.000000, 3, 89438, 14302, 50000, 0.159910, 2.000000, 1.000000, 0, 0.334527, 
0,1.000000, 5, 76596, 1612, 50000, 0.021045, 2.000000, 1.000000, 0, 0.333151, 
0,1.000000, 9, 75058, 8, 50000, 0.000107, 2.000000, 1.000000, 0, 0.333751, 
0,1.000000, 13, 74936, 0, 50000, 0.000000, 2.000000, 1.000000, 0, 0.332724, 
0,1.000000, 17, 74936, 0, 50000, 0.000000, 2.000000, 1.000000, 0, 0.332724, 
0,1.000000, 19, 74936, 0, 50000, 0.000000, 2.000000, 1.000000, 0, 0.332724, 
0,1.000000, 23, 74936, 0, 50000, 0.000000, 2.000000, 1.000000, 0, 0.332724, 
0,1.000000, 27, 74936, 0, 50000, 0.000000, 2.000000, 1.000000, 0, 0.332724, 
0,1.000000, 30, 74936, 0, 50000, 0.000000, 2.000000, 1.000000, 0, 0.332724, 
0,3.000000, 1, 451010, 375985, 50000, 0.833651, 6.000000, 3.000000, 0, 0.333542, 
0,3.000000, 3, 159046, 84133, 50000, 0.528985, 6.000000, 3.000000, 0, 0.332532, 
0,3.000000, 5, 104996, 29906, 50000, 0.284830, 6.000000, 3.000000, 0, 0.334079, 
0,3.000000, 9, 77955, 2951, 50000, 0.037855, 6.000000, 3.000000, 0, 0.333316, 
0,3.000000, 13, 74917, 96, 50000, 0.001281, 6.000000, 3.000000, 0, 0.331672, 
0,3.000000, 17, 74974, 1, 50000, 0.000013, 6.000000, 3.000000, 0, 0.333027, 
0,3.000000, 19, 74939, 0, 50000, 0.000000, 6.000000, 3.000000, 0, 0.332711, 
0,3.000000, 23, 74939, 0, 50000, 0.000000, 6.000000, 3.000000, 0, 0.332711, 
0,3.000000, 27, 74939, 0, 50000, 0.000000, 6.000000, 3.000000, 0, 0.332711, 
0,3.000000, 30, 74939, 0, 50000, 0.000000, 6.000000, 3.000000, 0, 0.332711, 
0,5.000000, 1, 698670, 623805, 50000, 0.892846, 10.000000, 5.000000, 0, 0.332118, 
0,5.000000, 3, 238684, 163720, 50000, 0.685928, 10.000000, 5.000000, 0, 0.332987, 
0,5.000000, 5, 148739, 73742, 50000, 0.495781, 10.000000, 5.000000, 0, 0.333267, 
0,5.000000, 9, 92632, 17681, 50000, 0.190874, 10.000000, 5.000000, 0, 0.332791, 
0,5.000000, 13, 77963, 3027, 50000, 0.038826, 10.000000, 5.000000, 0, 0.332657, 
0,5.000000, 17, 75351, 243, 50000, 0.003225, 10.000000, 5.000000, 0, 0.334185, 
0,5.000000, 19, 75004, 42, 50000, 0.000560, 10.000000, 5.000000, 0, 0.332889, 
0,5.000000, 23, 74975, 1, 50000, 0.000013, 10.000000, 5.000000, 0, 0.332969, 
0,5.000000, 27, 74942, 0, 50000, 0.000000, 10.000000, 5.000000, 0, 0.332697, 
0,5.000000, 30, 74942, 0, 50000, 0.000000, 10.000000, 5.000000, 0, 0.332697, 
0,7.000000, 1, 948253, 873432, 50000, 0.921096, 14.000000, 7.000000, 0, 0.331738, 
0,7.000000, 3, 320631, 245784, 50000, 0.766563, 14.000000, 7.000000, 0, 0.331944, 
0,7.000000, 5, 195876, 120841, 50000, 0.616926, 14.000000, 7.000000, 0, 0.333604, 
0,7.000000, 9, 114801, 39757, 50000, 0.346312, 14.000000, 7.000000, 0, 0.333631, 
0,7.000000, 13, 87504, 12656, 50000, 0.144633, 14.000000, 7.000000, 0, 0.331886, 
0,7.000000, 17, 77643, 2785, 50000, 0.035869, 14.000000, 7.000000, 0, 0.331908, 
0,7.000000, 19, 76129, 997, 50000, 0.013096, 14.000000, 7.000000, 0, 0.334345, 
0,7.000000, 23, 75328, 81, 50000, 0.001075, 14.000000, 7.000000, 0, 0.335415, 
0,7.000000, 27, 75079, 3, 50000, 0.000040, 14.000000, 7.000000, 0, 0.333848, 
0,7.000000, 30, 75032, 0, 50000, 0.000000, 14.000000, 7.000000, 0, 0.333404, 
0,9.000000, 1, 1195098, 1120192, 50000, 0.937322, 18.000000, 9.000000, 0, 0.332483, 
0,9.000000, 3, 402023, 327156, 50000, 0.813774, 18.000000, 9.000000, 0, 0.332122, 
0,9.000000, 5, 244713, 169712, 50000, 0.693514, 18.000000, 9.000000, 0, 0.333289, 
0,9.000000, 9, 139883, 64870, 50000, 0.463745, 18.000000, 9.000000, 0, 0.333356, 
0,9.000000, 13, 101525, 26556, 50000, 0.261571, 18.000000, 9.000000, 0, 0.332924, 
0,9.000000, 17, 84535, 9529, 50000, 0.112723, 18.000000, 9.000000, 0, 0.333187, 
0,9.000000, 19, 80088, 5144, 50000, 0.064229, 18.000000, 9.000000, 0, 0.332635, 
0,9.000000, 23, 76110, 1046, 50000, 0.013743, 18.000000, 9.000000, 0, 0.333755, 
0,9.000000, 27, 75221, 135, 50000, 0.001795, 18.000000, 9.000000, 0, 0.333924, 
0,9.000000, 30, 75110, 14, 50000, 0.000186, 18.000000, 9.000000, 0, 0.333973, 
0,11.000000, 1, 1449735, 1374807, 50000, 0.948316, 22.000000, 11.000000, 0, 0.332693, 
0,11.000000, 3, 487148, 412091, 50000, 0.845926, 22.000000, 11.000000, 0, 0.333813, 
0,11.000000, 5, 293224, 218227, 50000, 0.744233, 22.000000, 11.000000, 0, 0.333253, 
