Random Seed,Offered Load,Number of channels,Call arrival count,Blocked call count,Calls processed ,Block rate ,Give up time ,wait time ,taxi_arrive_customer_left_count ,Customer left rate ,
0,1.000000, 1, 500129, 350113, 50000, 0.700045, 1.000000, 2.000000, 0, 0.666702, 
0,1.000000, 3, 202506, 52373, 50000, 0.258624, 1.000000, 2.000000, 0, 0.666949, 
0,1.000000, 5, 159737, 9179, 50000, 0.057463, 1.000000, 2.000000, 0, 0.667889, 
0,1.000000, 9, 150323, 81, 50000, 0.000539, 1.000000, 2.000000, 0, 0.667184, 
0,1.000000, 13, 150583, 0, 50000, 0.000000, 1.000000, 2.000000, 0, 0.667944, 
0,1.000000, 17, 150583, 0, 50000, 0.000000, 1.000000, 2.000000, 0, 0.667944, 
0,1.000000, 19, 150583, 0, 50000, 0.000000, 1.000000, 2.000000, 0, 0.667944, 
0,1.000000, 23, 150583, 0, 50000, 0.000000, 1.000000, 2.000000, 0, 0.667944, 
0,1.000000, 27, 150583, 0, 50000, 0.000000, 1.000000, 2.000000, 0, 0.667944, 
0,1.000000, 30, 150583, 0, 50000, 0.000000, 1.000000, 2.000000, 0, 0.667944, 
0,3.000000, 1, 1198135, 1048239, 50000, 0.874892, 3.000000, 6.000000, 0, 0.666429, 
0,3.000000, 3, 415183, 264825, 50000, 0.637851, 3.000000, 6.000000, 0, 0.667447, 
0,3.000000, 5, 261151, 111038, 50000, 0.425187, 3.000000, 6.000000, 0, 0.666898, 
0,3.000000, 9, 170972, 20800, 50000, 0.121657, 3.000000, 6.000000, 0, 0.667008, 
0,3.000000, 13, 152793, 2167, 50000, 0.014183, 3.000000, 6.000000, 0, 0.668006, 
0,3.000000, 17, 150052, 97, 50000, 0.000646, 3.000000, 6.000000, 0, 0.666527, 
0,3.000000, 19, 150451, 14, 50000, 0.000093, 3.000000, 6.000000, 0, 0.667588, 
0,3.000000, 23, 150585, 0, 50000, 0.000000, 3.000000, 6.000000, 0, 0.667922, 
0,3.000000, 27, 150585, 0, 50000, 0.000000, 3.000000, 6.000000, 0, 0.667922, 
0,3.000000, 30, 150585, 0, 50000, 0.000000, 3.000000, 6.000000, 0, 0.667922, 
0,5.000000, 1, 1905436, 1755163, 50000, 0.921135, 5.000000, 10.000000, 0, 0.667272, 
0,5.000000, 3, 643480, 493149, 50000, 0.766378, 5.000000, 10.000000, 0, 0.667387, 
0,5.000000, 5, 392229, 242159, 50000, 0.617392, 5.000000, 10.000000, 0, 0.666795, 
0,5.000000, 9, 229785, 79529, 50000, 0.346102, 5.000000, 10.000000, 0, 0.667188, 
0,5.000000, 13, 175016, 24898, 50000, 0.142261, 5.000000, 10.000000, 0, 0.666869, 
0,5.000000, 17, 155914, 5438, 50000, 0.034878, 5.000000, 10.000000, 0, 0.667641, 
0,5.000000, 19, 152005, 2051, 50000, 0.013493, 5.000000, 10.000000, 0, 0.666491, 
