Random Seed,Offered Load,Number of channels,Call arrival count,Blocked call count,Calls processed ,Block rate ,cnt_step ,init_offer_load ,
0,19.000000, 25, 51943, 1925, 50000, 0.037060, 3, 10.000000, 
0,26.000000, 35, 50839, 814, 50000, 0.016011, 2, 20.000000, 
0,36.000000, 45, 51177, 1140, 50000, 0.022276, 2, 30.000000, 
0,49.000000, 60, 50914, 865, 50000, 0.016989, 3, 40.000000, 
0,62.000000, 75, 50797, 736, 50000, 0.014489, 4, 50.000000, 
0,75.000000, 90, 50643, 567, 50000, 0.011196, 5, 60.000000, 
0,91.000000, 105, 50948, 857, 50000, 0.016821, 7, 70.000000, 
0,104.000000, 120, 50802, 695, 50000, 0.013681, 8, 80.000000, 
0,120.000000, 135, 50855, 742, 50000, 0.014591, 10, 90.000000, 
0,133.000000, 150, 50798, 667, 50000, 0.013130, 11, 100.000000, 
0,146.000000, 165, 50676, 533, 50000, 0.010518, 12, 110.000000, 
0,162.000000, 180, 50691, 537, 50000, 0.010594, 14, 120.000000, 
0,175.000000, 195, 50682, 513, 50000, 0.010122, 15, 130.000000, 
0,191.000000, 210, 50819, 633, 50000, 0.012456, 17, 140.000000, 
0,207.000000, 225, 50842, 648, 50000, 0.012745, 19, 150.000000, 
